SessionTime,SessionTitle,Room,Chair,join_key,SessionID,OrderInSchedule
"Mon, Jul 28 08:00–17:30",Registration Desk Open,HH Lobby,,,,1
"Mon, Jul 28 08:45–09:00",Opening Ceremony,HH Auditorium,"Fred Hickernell, Nicole Beebe, and Kevin Corlette",,,2
"Mon, Jul 28 09:00–10:00","Plenary Talk by Rohan Sawhney, Nvidia Corporation, Monte Carlo Methods in Computer Graphics",HH Auditorium,Michael Mascagni,rohan sawhney,P1,3
"Mon, Jul 28 10:00–10:30",Coffee Break,HH Lobby,,,,4
"Mon, Jul 28 10:30–12:30","Track A: Stochastic Computation and Complexity, Part I",HH Auditorium,Stefan Heinrich,stochastic computation and complexity part i,S1,5
"Mon, Jul 28 10:30–12:30",Track B: Domain Uncertainty Quantification,HH Ballroom,André-Alexander Zepernick,domain uncertainty quantification,S2,6
"Mon, Jul 28 10:30–12:30","Track C: Nested expectations: models and estimators, Part I",HH 002,Arved Bartuska,nested expectations models and estimators part i,S3,7
"Mon, Jul 28 10:30–12:30","Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",WH Auditorium,Mike Giles,hardware or software for quasi monte carlo algorithms part i,S4,8
"Mon, Jul 28 10:30–12:30",Track E: Technical Session 1 - Markov Chain Monte Carlo,WH 115,Philippe Gagnon,technical session 1,T1,9
"Mon, Jul 28 12:30–14:00",Lunch Break,MTCC Commons,,,,10
"Mon, Jul 28 14:00–15:00","Plenary Talk by Christiane Lemieux, U of Waterloo, Golden ratio nets and sequences",HH Auditorium,Nathan Kirk,christiane lemieux,P2,11
"Mon, Jul 28 15:00–15:30",Coffee Break,HH Lobby,,,,12
"Mon, Jul 28 15:30–17:30","Track F: Stochastic Computation and Complexity, Part II",HH Auditorium,Larisa Yaroslavtseva,stochastic computation and complexity part ii,S5,13
"Mon, Jul 28 15:30–17:30",Track G: Recent advances in optimization under uncertainty,HH Ballroom,Phillip A. Guth,recent advances in optimization under uncertainty,S6,14
"Mon, Jul 28 15:30–17:30",Track H: Computational Methods for Low-discrepancy Sampling and Applications,HH 002,Nathan Kirk,computational methods for low discrepancy sampling and applications,S7,15
"Mon, Jul 28 15:30–17:30","Track I: Technical Session 4 - Quasi-Monte Carlo, Part I",WH Auditorium,Peter Kritzer,technical session 4,T4,16
